unix,ds,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount,Value
1.6016E+12,2020-10-02,LINK/USDT,9.631,9.84,8.794,9.202,36069781.61,331599805.8,633176,9.317
1.60168E+12,2020-10-03,LINK/USDT,9.202,9.533,9.088,9.26,16553541.83,153210014.8,357789,9.3105
1.60177E+12,2020-10-04,LINK/USDT,9.26,9.45,9.102,9.383,14406808.83,133425428,299257,9.276
1.60186E+12,2020-10-05,LINK/USDT,9.379,9.731,9.256,9.605,18648729.91,176970358.4,348495,9.4935
1.60194E+12,2020-10-06,LINK/USDT,9.605,9.652,8.55,8.765,24695613.36,225186056.6,455171,9.101
1.60203E+12,2020-10-07,LINK/USDT,8.767,9.013,8.377,8.963,23601163.19,206667553.5,410602,8.695
1.60212E+12,2020-10-08,LINK/USDT,8.964,9.676,8.422,9.544,29266373.29,265513572.9,541231,9.049
1.6022E+12,2020-10-09,LINK/USDT,9.547,10.51,9.356,10.386,33083861.61,331950526.3,585393,9.933
1.60229E+12,2020-10-10,LINK/USDT,10.386,10.92,10.36,10.514,28957533.13,307325871.1,508173,10.64
1.60237E+12,2020-10-11,LINK/USDT,10.513,11.026,10.147,10.834,27341343.75,290371991.8,526279,10.5865
1.60246E+12,2020-10-12,LINK/USDT,10.833,11.793,10.67,11.418,40756788.84,457354426.1,798534,11.2315
1.60255E+12,2020-10-13,LINK/USDT,11.418,11.573,10.516,10.998,32870784.8,367112875.4,694050,11.0445
1.60263E+12,2020-10-14,LINK/USDT,10.998,11.332,10.611,10.888,27901241.39,306843301.5,627957,10.9715
1.60272E+12,2020-10-15,LINK/USDT,10.887,10.933,10.47,10.752,26314780.71,281457408.6,573076,10.7015
1.60281E+12,2020-10-16,LINK/USDT,10.752,10.89,10.261,10.58,22661944.59,239827437.7,448181,10.5755
1.60289E+12,2020-10-17,LINK/USDT,10.58,10.71,10.41,10.616,12613371.43,133205853,296406,10.56
1.60298E+12,2020-10-18,LINK/USDT,10.616,10.98,10.588,10.936,12611068.83,136353763,304799,10.784
1.60307E+12,2020-10-19,LINK/USDT,10.935,11.227,10.651,10.92,20335335.94,221479698.3,428268,10.939
1.60315E+12,2020-10-20,LINK/USDT,10.92,10.937,9.756,9.852,27648638.38,286919579.4,577765,10.3465
1.60324E+12,2020-10-21,LINK/USDT,9.852,11.14,9.781,10.78,33429384.18,355166006.5,691971,10.4605
1.60332E+12,2020-10-22,LINK/USDT,10.781,12.426,10.711,11.948,38880465.04,453657123.3,794655,11.5685
1.60341E+12,2020-10-23,LINK/USDT,11.949,12.274,11.58,12.156,32217748.85,385726539.7,677810,11.927
1.6035E+12,2020-10-24,LINK/USDT,12.153,12.95,11.979,12.691,28357758.3,355841410.2,592585,12.4645
1.60358E+12,2020-10-25,LINK/USDT,12.692,12.85,11.9,12.148,23604517.94,291567532.9,525188,12.375
1.60367E+12,2020-10-26,LINK/USDT,12.146,12.45,11.256,11.701,31578187.37,374681738.5,636815,11.853
1.60376E+12,2020-10-27,LINK/USDT,11.701,12.465,11.487,11.912,28666562.26,344094685.9,556475,11.976
1.60384E+12,2020-10-28,LINK/USDT,11.911,12.158,11.14,11.434,27746823.8,321477621.6,577446,11.649
1.60393E+12,2020-10-29,LINK/USDT,11.433,11.803,11.068,11.269,25675225.34,293888210.6,574992,11.4355
1.60402E+12,2020-10-30,LINK/USDT,11.269,11.476,10.75,11.091,26922783.1,297549131.8,671485,11.113
1.6041E+12,2020-10-31,LINK/USDT,11.092,11.396,10.906,11.222,17396073.25,194621896,447970,11.151
1.60419E+12,2020-11-01,LINK/USDT,11.222,11.59,11.015,11.57,14207461,159947084.3,452768,11.3025
1.60428E+12,2020-11-02,LINK/USDT,11.569,11.69,10.707,10.779,27027561.19,301205480.1,689155,11.1985
1.60436E+12,2020-11-03,LINK/USDT,10.779,10.782,9.953,10.394,31587442.06,327641257.9,702003,10.3675
1.60445E+12,2020-11-04,LINK/USDT,10.392,10.666,9.741,10.469,33576738.1,343767835,635947,10.2035
1.60453E+12,2020-11-05,LINK/USDT,10.469,11.271,10.077,10.971,36879942.16,394126747.6,754447,10.674
1.60462E+12,2020-11-06,LINK/USDT,10.971,12.294,10.916,12.171,37423777.89,434937297.4,807264,11.605
1.60471E+12,2020-11-07,LINK/USDT,12.172,13.741,11.45,11.766,77770982.99,982440969.2,1340157,12.5955
1.60479E+12,2020-11-08,LINK/USDT,11.765,13.1,11.475,12.71,35995976.3,446208039.2,756299,12.2875
1.60488E+12,2020-11-09,LINK/USDT,12.71,13.013,12.044,12.508,42897592.85,535754956.9,782082,12.5285
1.60497E+12,2020-11-10,LINK/USDT,12.508,13.3,12.306,13.018,40236421.05,518040973.2,766478,12.803
1.60505E+12,2020-11-11,LINK/USDT,13.017,13.438,12.745,12.757,30859101.61,404813043.5,620440,13.0915
1.60514E+12,2020-11-12,LINK/USDT,12.758,13.097,12.262,12.405,27372203.02,345194503.9,597567,12.6795
1.60523E+12,2020-11-13,LINK/USDT,12.405,13.012,12.299,12.867,26716326.22,340341625.4,568608,12.6555
1.60531E+12,2020-11-14,LINK/USDT,12.867,12.938,12.316,12.565,16818505.51,211433983.4,396292,12.627
1.6054E+12,2020-11-15,LINK/USDT,12.566,12.662,11.815,12.121,18833935.23,231636436,439927,12.2385
1.60548E+12,2020-11-16,LINK/USDT,12.123,12.825,11.991,12.628,21690526.14,270576705.8,472749,12.408
1.60557E+12,2020-11-17,LINK/USDT,12.629,13.473,12.556,13.427,32835123.79,424754078,636619,13.0145
1.60566E+12,2020-11-18,LINK/USDT,13.426,14.394,12.51,13.573,54462879.99,736994885.5,1092430,13.452
1.60574E+12,2020-11-19,LINK/USDT,13.575,14.03,13.017,13.62,30165360.11,408898756.4,634768,13.5235
1.60583E+12,2020-11-20,LINK/USDT,13.62,14.517,13.471,14.106,32701563.92,460033192.8,646525,13.994
1.60592E+12,2020-11-21,LINK/USDT,14.106,15.56,13.68,15.477,44234287.94,650162688.4,859083,14.62
1.606E+12,2020-11-22,LINK/USDT,15.48,15.75,13.8,14.528,42454919.12,626153174.5,796032,14.775
1.60609E+12,2020-11-23,LINK/USDT,14.526,15.448,14.279,15.279,35992453.25,537546452.2,693509,14.8635
1.60618E+12,2020-11-24,LINK/USDT,15.278,16.413,14.96,15.694,49938508.96,783728039.9,894028,15.6865
1.60626E+12,2020-11-25,LINK/USDT,15.693,15.918,13.795,14.226,30426675.6,458435433.3,624837,14.8565
1.60635E+12,2020-11-26,LINK/USDT,14.226,14.484,11.14,12.6,74641921.48,930542220.5,1261493,12.812
1.60644E+12,2020-11-27,LINK/USDT,12.6,12.947,11.952,12.51,27988751.21,346838032.2,541134,12.4495
1.60652E+12,2020-11-28,LINK/USDT,12.511,13.433,12.36,13.09,20781408.66,268787716.6,444356,12.8965
1.60661E+12,2020-11-29,LINK/USDT,13.087,13.488,12.848,13.395,18889787,248401368.1,389124,13.168
1.60669E+12,2020-11-30,LINK/USDT,13.396,14.467,13.394,14.284,30242914.8,424415637.6,634611,13.9305
1.60678E+12,2020-12-01,LINK/USDT,14.287,14.885,13.061,13.358,36355839.36,507873715.1,722220,13.973
1.60687E+12,2020-12-02,LINK/USDT,13.359,14.171,13.055,13.995,19765625.25,269980972.7,476922,13.613
1.60695E+12,2020-12-03,LINK/USDT,13.995,14.244,13.668,13.985,15606882.53,217699123.1,374233,13.956
1.60704E+12,2020-12-04,LINK/USDT,13.986,14.053,12.5,12.689,17842591.82,238093705.8,459411,13.2765
1.60713E+12,2020-12-05,LINK/USDT,12.685,13.357,12.53,13.177,13746693.91,180176178.8,347552,12.9435
1.60721E+12,2020-12-06,LINK/USDT,13.177,13.55,12.771,13.519,13001058.02,171669252.2,350526,13.1605
1.6073E+12,2020-12-07,LINK/USDT,13.52,13.574,12.88,13.082,10074465.96,132780471.7,297662,13.227
1.60739E+12,2020-12-08,LINK/USDT,13.083,13.207,11.994,12.135,15423214.84,194576791.8,358166,12.6005
1.60747E+12,2020-12-09,LINK/USDT,12.14,12.832,11.568,12.617,21962464.29,265664201.6,449801,12.2
1.60756E+12,2020-12-10,LINK/USDT,12.616,12.671,11.855,11.916,11104064.24,135172731.9,309094,12.263
