unix,ds,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount,Value
1.60747E+12,2020-12-09,BNB/USDT,27.6705,28.3853,26.9244,28.1452,1635344.181,45454697.54,182482,27.65485
1.60756E+12,2020-12-10,BNB/USDT,28.144,28.2997,27.39,27.6926,1344683.627,37402211.1,118644,27.84485
1.60764E+12,2020-12-11,BNB/USDT,27.695,27.77,26.7273,27.3419,1244803.112,33839924.15,144598,27.24865
1.60773E+12,2020-12-12,BNB/USDT,27.349,28.23,27.2542,28.1603,1293965.518,36058480.59,112495,27.7421
1.60782E+12,2020-12-13,BNB/USDT,28.1603,29.2628,28,29.1571,1639495.816,47146012.39,137327,28.6314
1.6079E+12,2020-12-14,BNB/USDT,29.1599,30.1884,28.6669,30.0338,2028334.088,59668479.18,200800,29.42765
1.60799E+12,2020-12-15,BNB/USDT,30.0338,30.379,29.3069,29.5053,1624791.814,48398355.22,176586,29.84295
1.60808E+12,2020-12-16,BNB/USDT,29.5059,30.614,29.0265,30.5577,2161816.842,64494864.38,231879,29.82025
1.60816E+12,2020-12-17,BNB/USDT,30.5524,31.5489,29.6891,30.2255,3274786.131,100846680.9,320109,30.619
1.60825E+12,2020-12-18,BNB/USDT,30.2254,31.2172,29.61,30.9882,2045326.343,62443342.41,200766,30.4136
1.60834E+12,2020-12-19,BNB/USDT,30.9858,34.2307,30.8812,33.3167,4117460.293,134985674.6,356909,32.55595
1.60842E+12,2020-12-20,BNB/USDT,33.3018,35.69,32.5899,34.3148,4477498.818,153515421.8,346574,34.13995
1.60851E+12,2020-12-21,BNB/USDT,34.3072,35.6,31.4871,32.05,4558115.88,152823799.8,387995,33.54355
1.6086E+12,2020-12-22,BNB/USDT,32.05,33.8,30.4719,33.5151,3563635.673,115167307.8,359713,32.13595
1.60868E+12,2020-12-23,BNB/USDT,33.5112,34.505,30,31.1843,3940926.442,128877133.7,431164,32.2525
1.60877E+12,2020-12-24,BNB/USDT,31.1698,32.7589,30,32.4895,2999570.853,94739220.63,317894,31.37945
1.60885E+12,2020-12-25,BNB/USDT,32.4947,33.4954,31.7313,33.1996,2596272.905,84844896.32,237471,32.61335
