unix,ds,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount,Value
1.55762E+12,2019-05-12,EOS/USDT,5.4309,5.756,5.171,5.3319,9646294.06,52648572.7,102947,5.4635
1.55771E+12,2019-05-13,EOS/USDT,5.3331,5.7829,5.2809,5.5185,6279479.22,34694863,75226,5.5319
1.55779E+12,2019-05-14,EOS/USDT,5.5187,6.2174,5.5001,5.9992,11014439.83,64745645.39,118264,5.85875
1.55788E+12,2019-05-15,EOS/USDT,6.0007,6.5464,5.95,6.4644,6195112.33,38853572.22,64858,6.2482
1.55796E+12,2019-05-16,EOS/USDT,6.4628,6.8995,6.2036,6.4948,12660869.17,83293545.35,145846,6.55155
1.55805E+12,2019-05-17,EOS/USDT,6.4941,6.5761,5.7086,6.0353,14700468.56,88054228.12,168209,6.14235
1.55814E+12,2019-05-18,EOS/USDT,6.0343,6.08,5.81,5.8813,5017000.48,29784254.42,62392,5.945
1.55822E+12,2019-05-19,EOS/USDT,5.8807,6.582,5.8702,6.4581,8530699.96,53450049.33,95776,6.2261
1.55831E+12,2019-05-20,EOS/USDT,6.4578,6.4625,5.981,6.2144,6892479.87,42818569.6,93783,6.22175
1.5584E+12,2019-05-21,EOS/USDT,6.215,6.36,6.0744,6.2589,4827968.92,30118160.35,68905,6.2172
1.55848E+12,2019-05-22,EOS/USDT,6.2561,6.3413,5.7839,5.9285,6061932.3,37000028.55,79180,6.0626
1.55857E+12,2019-05-23,EOS/USDT,5.9289,6.1,5.7227,6.0157,4244266.89,24988190,57383,5.91135
1.55866E+12,2019-05-24,EOS/USDT,6.0178,6.5974,5.9624,6.4064,7148160.67,45101433.58,95233,6.2799
1.55874E+12,2019-05-25,EOS/USDT,6.4066,6.5407,6.2511,6.3603,4550757.26,29090237.87,58312,6.3959
1.55883E+12,2019-05-26,EOS/USDT,6.3579,6.9727,6.2001,6.8511,6722716.09,44234218.48,72096,6.5864
1.55892E+12,2019-05-27,EOS/USDT,6.8538,8.22,6.7941,7.9944,16433129.5,121980838,189147,7.50705
1.559E+12,2019-05-28,EOS/USDT,7.9985,8.2196,7.6148,8.075,12393464.9,98475823.97,159110,7.9172
1.55909E+12,2019-05-29,EOS/USDT,8.0753,8.2535,7.51,7.9658,8601476.01,68277218.77,116615,7.88175
1.55917E+12,2019-05-30,EOS/USDT,7.9672,8.4942,6.8678,7.3,19447140.11,151876160.7,235437,7.681
1.55926E+12,2019-05-31,EOS/USDT,7.3,8.6903,7.1814,8.5645,17867584.79,139835275,216858,7.93585
1.55935E+12,2019-06-01,EOS/USDT,8.5618,8.6389,7.437,7.7027,18849766.98,153830200.8,229544,8.03795
1.55943E+12,2019-06-02,EOS/USDT,7.7087,7.982,7.4588,7.7188,11897278.17,92088927.5,162638,7.7204
1.55952E+12,2019-06-03,EOS/USDT,7.7229,7.731,6.5884,6.6926,15539352.35,112550887.8,203040,7.1597
1.55961E+12,2019-06-04,EOS/USDT,6.6911,6.8907,6.02,6.2943,18008532.69,116916312.4,206959,6.45535
1.55969E+12,2019-06-05,EOS/USDT,6.2961,6.525,6.1353,6.419,10145734.87,64220782.25,127183,6.33015
1.55978E+12,2019-06-06,EOS/USDT,6.4182,6.4602,5.9251,6.3602,8420899.77,52526373.53,108298,6.19265
1.55987E+12,2019-06-07,EOS/USDT,6.3581,6.78,6.2902,6.6195,7060072.68,45956871.55,87741,6.5351
1.55995E+12,2019-06-08,EOS/USDT,6.6196,6.7,6.1849,6.3408,4999853.42,32046062.6,71788,6.44245
1.56004E+12,2019-06-09,EOS/USDT,6.3408,6.4803,5.9505,6.139,6342921.01,39268897.29,79629,6.2154
1.56012E+12,2019-06-10,EOS/USDT,6.1389,6.49,6.0351,6.4258,6632432.91,41603197.43,83042,6.26255
